feature,importance
num__neighborhood_median_price,0.21884586
cat__borough_Manhattan,0.079771325
num__neighborhood_median_ppsf,0.046525046
cat__building_class_03 THREE FAMILY DWELLINGS,0.030205507
cat__building_class_02 TWO FAMILY DWELLINGS,0.028296202
num__assess_per_unit,0.02500136
num__gross_sqft,0.018229831
cat__borough_Bronx,0.016463844
cat__borough_Brooklyn,0.008650379
cat__neighborhood_PARK SLOPE,0.008581425
cat__neighborhood_DONGAN HILLS,0.0070042866
cat__borough_Queens,0.0064850645
num__numfloors,0.006217549
cat__borough_Staten Island,0.006050568
num__bldg_footprint,0.006050377
cat__neighborhood_CROWN HEIGHTS,0.0056489045
cat__neighborhood_ELMHURST,0.005325088
num__property_age,0.005301201
num__land_sqft,0.0052901353
num__year_built,0.0051359106
cat__neighborhood_PROSPECT HEIGHTS,0.004882852
cat__neighborhood_CANARSIE,0.0048778127
cat__neighborhood_OCEAN PARKWAY-SOUTH,0.0048692203
num__longitude,0.00486779
cat__neighborhood_MIDWOOD,0.0047964994
cat__neighborhood_FLATBUSH-NORTH,0.0047924276
num__latitude,0.0047652666
cat__neighborhood_WASHINGTON HEIGHTS LOWER,0.004735749
cat__neighborhood_WILLIAMSBURG-CENTRAL,0.0045917146
cat__neighborhood_FLATBUSH-LEFFERTS GARDEN,0.0045132493
cat__neighborhood_ASTORIA,0.0045108106
cat__neighborhood_OCEAN HILL,0.004441321
cat__neighborhood_WILLIAMSBRIDGE,0.0044101626
cat__neighborhood_BUSHWICK,0.0043614893
cat__neighborhood_BOROUGH PARK,0.0043430594
cat__neighborhood_OAKLAND GARDENS,0.004324764
cat__neighborhood_OLD MILL BASIN,0.00432134
cat__neighborhood_CYPRESS HILLS,0.0042543025
cat__neighborhood_HAMMELS,0.0042221397
num__builtfar,0.0042143604
cat__neighborhood_FLATBUSH-EAST,0.0041618166
cat__neighborhood_JACKSON HEIGHTS,0.0041200104
cat__neighborhood_MORRISANIA/LONGWOOD,0.004098276
cat__neighborhood_EAST ELMHURST,0.0040691327
cat__neighborhood_OCEAN PARKWAY-NORTH,0.0040540397
cat__neighborhood_PRINCES BAY,0.0040104734
cat__neighborhood_MARINE PARK,0.003996322
cat__neighborhood_GRAVESEND,0.0039390377
cat__neighborhood_FLUSHING-NORTH,0.0038929186
cat__neighborhood_EAST NEW YORK,0.0037675765
cat__neighborhood_BATH BEACH,0.00375267
cat__neighborhood_WILLOWBROOK,0.0037093372
cat__neighborhood_COLLEGE POINT,0.0036842271
cat__neighborhood_SUNSET PARK,0.0036653387
cat__neighborhood_PARK SLOPE SOUTH,0.0036604337
cat__neighborhood_SUNNYSIDE,0.0036504767
cat__neighborhood_GREENWICH VILLAGE-WEST,0.0036451682
cat__neighborhood_GREAT KILLS,0.0036422433
cat__neighborhood_KEW GARDENS,0.0036057
num__lotdepth,0.003540827
cat__neighborhood_MELROSE/CONCOURSE,0.0035251956
cat__neighborhood_ROSEBANK,0.0035052947
cat__neighborhood_MIDDLE VILLAGE,0.0034939947
cat__neighborhood_SPRINGFIELD GARDENS,0.0034598212
cat__neighborhood_BAYCHESTER,0.0034094555
cat__neighborhood_SHEEPSHEAD BAY,0.003383295
cat__neighborhood_FORT GREENE,0.0033807063
cat__neighborhood_GOWANUS,0.0032977213
cat__neighborhood_ELTINGVILLE,0.003296
cat__neighborhood_BEDFORD STUYVESANT,0.003287438
cat__neighborhood_THROGS NECK,0.0032858634
cat__neighborhood_LAURELTON,0.0032402147
cat__neighborhood_LITTLE NECK,0.003192981
cat__neighborhood_BATHGATE,0.00318078
cat__neighborhood_WINDSOR TERRACE,0.0031488994
cat__neighborhood_MASPETH,0.0031413713
cat__neighborhood_GREENPOINT,0.0031149592
cat__neighborhood_SO. JAMAICA-BAISLEY PARK,0.0030949796
cat__neighborhood_HIGHBRIDGE/MORRIS HEIGHTS,0.0030730811
cat__neighborhood_MOUNT HOPE/MOUNT EDEN,0.0030501252
cat__neighborhood_MIDLAND BEACH,0.0030049346
cat__neighborhood_FAR ROCKAWAY,0.0029785072
cat__neighborhood_BAY RIDGE,0.0029734182
cat__neighborhood_SOUTH JAMAICA,0.002961185
cat__neighborhood_BEDFORD PARK/NORWOOD,0.0029516234
cat__neighborhood_HARLEM-CENTRAL,0.0029468366
cat__neighborhood_COUNTRY CLUB,0.0029181512
cat__neighborhood_ST. ALBANS,0.0029135407
cat__neighborhood_BENSONHURST,0.002910059
cat__neighborhood_BOERUM HILL,0.0028874427
cat__neighborhood_TOMPKINSVILLE,0.002880934
cat__neighborhood_CORONA,0.0028617317
cat__neighborhood_BRIGHTON BEACH,0.002858116
cat__neighborhood_JAMAICA HILLS,0.0028536117
cat__neighborhood_HOLLIS,0.0028523928
cat__neighborhood_WILLIAMSBURG-EAST,0.0028479134
cat__neighborhood_PELHAM GARDENS,0.0028476191
cat__neighborhood_BRONXDALE,0.0028129164
cat__neighborhood_WOODSIDE,0.0027855274
cat__neighborhood_FLATBUSH-CENTRAL,0.0027809662
cat__neighborhood_RICHMOND HILL,0.0027256797
cat__neighborhood_COBBLE HILL,0.0027064662
cat__neighborhood_EAST TREMONT,0.0026538246
cat__neighborhood_CROTONA PARK,0.0026499068
cat__neighborhood_SOUNDVIEW,0.0026334638
cat__neighborhood_WOODHAVEN,0.0026204784
cat__neighborhood_MORRIS PARK/VAN NEST,0.0025828674
cat__neighborhood_GRASMERE,0.0025573326
cat__neighborhood_FRESH MEADOWS,0.0025475882
cat__neighborhood_BELMONT,0.0025447875
cat__neighborhood_HUNTS POINT,0.0025259063
cat__neighborhood_JAMAICA,0.0025250507
cat__neighborhood_GLENDALE,0.00252073
cat__neighborhood_ROCKAWAY PARK,0.002510329
cat__neighborhood_HOWARD BEACH,0.0025036223
cat__neighborhood_MARINERS HARBOR,0.002486217
cat__neighborhood_HARLEM-UPPER,0.0024788012
cat__neighborhood_CASTLETON CORNERS,0.0024628663
cat__neighborhood_PELHAM PARKWAY SOUTH,0.0024609219
cat__neighborhood_RED HOOK,0.0024482806
cat__neighborhood_BAYSIDE,0.0023777534
cat__neighborhood_CARROLL GARDENS,0.0023480672
cat__neighborhood_CONCORD,0.0023466283
cat__neighborhood_RIVERDALE,0.002326889
cat__neighborhood_FORDHAM,0.0022972983
cat__neighborhood_RIDGEWOOD,0.002281869
cat__neighborhood_MILL BASIN,0.002271582
cat__neighborhood_FLATLANDS,0.0022698245
cat__neighborhood_OZONE PARK,0.0022687397
cat__neighborhood_MOTT HAVEN/PORT MORRIS,0.0022570267
cat__neighborhood_BUSH TERMINAL,0.0022567683
cat__neighborhood_STAPLETON,0.0022531683
cat__neighborhood_ARVERNE,0.0022374766
cat__neighborhood_SOUTH OZONE PARK,0.002227535
cat__neighborhood_BELLEROSE,0.002205133
cat__neighborhood_ROSEDALE,0.002198344
cat__neighborhood_BROWNSVILLE,0.0021744426
cat__neighborhood_WYCKOFF HEIGHTS,0.0021709558
cat__neighborhood_CASTLE HILL/UNIONPORT,0.0021544083
cat__neighborhood_NEW SPRINGVILLE,0.0021290586
cat__neighborhood_FLUSHING-SOUTH,0.0021188962
cat__neighborhood_SCHUYLERVILLE/PELHAM BAY,0.0021171046
cat__neighborhood_WHITESTONE,0.0021166345
cat__neighborhood_WILLIAMSBURG-NORTH,0.0020980502
cat__neighborhood_BERGEN BEACH,0.0020950537
cat__neighborhood_WILLIAMSBURG-SOUTH,0.002075052
cat__neighborhood_PARKCHESTER,0.0020722912
cat__neighborhood_QUEENS VILLAGE,0.002046551
cat__neighborhood_GERRITSEN BEACH,0.002009179
cat__neighborhood_WEST NEW BRIGHTON,0.0020076835
cat__neighborhood_WESTCHESTER,0.001995457
cat__neighborhood_WOODROW,0.0019489068
cat__neighborhood_WOODLAWN,0.0019331091
cat__neighborhood_SOUTH BEACH,0.0019214483
cat__neighborhood_TOTTENVILLE,0.0019166411
cat__neighborhood_NEW BRIGHTON,0.0019108803
cat__neighborhood_GRANT CITY,0.0018898915
cat__neighborhood_REGO PARK,0.0018402349
cat__neighborhood_KINGSBRIDGE HTS/UNIV HTS,0.0018365263
cat__neighborhood_LONG ISLAND CITY,0.0018222346
cat__neighborhood_MANHATTAN BEACH,0.0018136567
cat__neighborhood_NEW DORP,0.0017867048
cat__neighborhood_MADISON,0.0017442327
cat__neighborhood_CLINTON HILL,0.001737112
cat__neighborhood_DYKER HEIGHTS,0.0017013912
cat__neighborhood_PORT RICHMOND,0.0016991803
cat__neighborhood_WAKEFIELD,0.0016909357
cat__neighborhood_UPPER EAST SIDE (59-79),0.0016477723
cat__neighborhood_PORT IVORY,0.0016346847
cat__neighborhood_FOREST HILLS,0.0016097995
cat__neighborhood_OAKWOOD,0.0015383548
cat__neighborhood_PELHAM PARKWAY NORTH,0.0015182279
cat__neighborhood_UPPER WEST SIDE (79-96),0.0015035687
cat__neighborhood_BULLS HEAD,0.0014668967
cat__neighborhood_ARROCHAR-SHORE ACRES,0.0014659335
cat__neighborhood_KENSINGTON,0.001458246
cat__neighborhood_BELLE HARBOR,0.0013765461
cat__neighborhood_HILLCREST,0.0013460685
cat__neighborhood_ARDEN HEIGHTS,0.0013193053
cat__neighborhood_OAKWOOD-BEACH,0.0012919732
cat__neighborhood_UPPER EAST SIDE (79-96),0.0012542274
cat__neighborhood_CAMBRIA HEIGHTS,0.001193453
cat__neighborhood_BRIARWOOD,0.0
cat__neighborhood_STAPLETON-CLIFTON,0.0
cat__neighborhood_GREENWICH VILLAGE-CENTRAL,0.0
cat__neighborhood_EAST VILLAGE,0.0
cat__neighborhood_TRAVIS,0.0
cat__neighborhood_TRIBECA,0.0
cat__neighborhood_HUGUENOT,0.0
cat__neighborhood_NEW DORP-HEIGHTS,0.0
cat__neighborhood_WESTERLEIGH,0.0
cat__neighborhood_UPPER WEST SIDE (59-79),0.0
cat__neighborhood_BEECHHURST,0.0
cat__neighborhood_MIDTOWN EAST,0.0
cat__neighborhood_EMERSON HILL,0.0
cat__neighborhood_BROOKLYN HEIGHTS,0.0
cat__neighborhood_LOWER EAST SIDE,0.0
cat__neighborhood_GRYMES HILL,0.0
cat__neighborhood_FLORAL PARK,0.0
cat__neighborhood_FLUSHING MEADOW PARK,0.0
cat__neighborhood_ARROCHAR,0.0
cat__neighborhood_ANNADALE,0.0
cat__neighborhood_MANOR HEIGHTS,0.0
cat__neighborhood_ALPHABET CITY,0.0
cat__neighborhood_BRONX PARK,0.0
cat__neighborhood_SOHO,0.0
cat__neighborhood_SPRING CREEK,0.0
cat__neighborhood_GREAT KILLS-BAY TERRACE,0.0
cat__neighborhood_DONGAN HILLS-COLONY,0.0
cat__neighborhood_CONEY ISLAND,0.0
cat__neighborhood_CONCORD-FOX HILLS,0.0
cat__neighborhood_KINGSBRIDGE/JEROME PARK,0.0
cat__neighborhood_COBBLE HILL-WEST,0.0
cat__neighborhood_CLOVE LAKES,0.0
cat__neighborhood_NEW DORP-BEACH,0.0
cat__neighborhood_HARLEM-EAST,0.0
cat__neighborhood_CITY ISLAND,0.0
cat__neighborhood_CHELSEA,0.0
cat__neighborhood_NEW BRIGHTON-ST. GEORGE,0.0
cat__neighborhood_NAVY YARD,0.0
cat__neighborhood_MURRAY HILL,0.0
cat__neighborhood_RICHMONDTOWN,0.0
cat__neighborhood_GLEN OAKS,0.0
cat__neighborhood_JAMAICA ESTATES,0.0
cat__neighborhood_MANHATTAN VALLEY,0.0
cat__neighborhood_JAMAICA BAY,0.0
cat__neighborhood_GRAMERCY,0.0
cat__neighborhood_ROSSVILLE,0.0
cat__neighborhood_ROSSVILLE-CHARLESTON,0.0
cat__neighborhood_ROSSVILLE-RICHMOND VALLEY,0.0
cat__neighborhood_DOUGLASTON,0.0
cat__neighborhood_SEAGATE,0.0
cat__neighborhood_SILVER LAKE,0.0
cat__neighborhood_LIVINGSTON,0.0
cat__neighborhood_DONGAN HILLS-OLD TOWN,0.0
cat__neighborhood_DOWNTOWN-FULTON MALL,0.0
cat__neighborhood_INWOOD,0.0
cat__neighborhood_PLEASANT PLAINS,0.0
